category,categories_all,media_tags,name,gen_pop_reach,all_reach,dem_reach,rep_reach
Social Issues,Social Issues,activist,Greg Lukianoff,0.0004485065942591,0.0032936748000268,0.0028855103940428,0.0044261294261294
Sports||Football,Sports||Football,,Greg Mcelroy,0.0010061093871218,0.0014451838408281,0.0008067018305926,0.0025946275946275
News Media,News Media,journalist,Greg Miller,0.0007757951900698,0.0085366673388451,0.0115420415761712,0.0046932234432234
Sports||Golf,Sports||Golf,,Greg Norman,0.0004969937936384,0.0015460106204207,0.0007136208501396,0.0019841269841269
Authors||Politics & Social Sciences,Authors||Politics & Social Sciences,political_author,Greg Olear (Author),0.0009333785880527,0.00265510519594,0.0032888613093391,0.0020604395604395
Sports||Football,Sports||Football,,Greg Olsen,0.0015879557796741,0.0024870605632856,0.0017995656220912,0.0030143467643467
News Media,News Media,journalist,Greg Palast,0.0004485065942591,0.0017812731061369,0.0022959975178405,0.0006868131868131
Politics / Government,Politics / Government,politician,Greg Price (Political Commentator),0.0010424747866563,0.0047724675673858,0.0016134036611852,0.0102640415140415
News Media,News Media,journalist,Greg Sargent,0.0023637509697439,0.0188882167103582,0.0234253800806701,0.0101114163614163
Politics / Government,Politics / Government,politician,Greg Stanton,0.0003636539953452,0.0026887141224709,0.0030716723549488,0.0017170329670329
Politics / Government,Politics / Government,politician,Greg Steube,0.000303044996121,0.0019829266653223,0.0011479987589202,0.0040064102564102
Sports||Journalist Broadcaster,Sports||Journalist Broadcaster,journalist,Greg Wyshynski,0.0010788401861908,0.0023862337836929,0.0032888613093391,0.0029380341880341
News Media,News Media,journalist,Gregg Carlstrom,0.0004969937936384,0.0032936748000268,0.004685076016134,0.0020985958485958
News Media,News Media,journalist,Gregg Doyel,0.0007879169899146,0.0022181891510385,0.0021718895439031,0.0029380341880341
Politics / Government,Politics / Government,politician,Gregg Harper,0.0002060705973622,0.0014115749142972,0.0007136208501396,0.0021749084249084
News Media,News Media,journalist,Gregg Jarrett,0.002133436772692,0.0042347247428917,0.0016134036611852,0.0097298534798534
News Media,News Media,journalist,Gregory D Johnsen,0.000145461598138,0.0016804463265443,0.0022959975178405,0.0008775946275946
News Media,News Media,journalist,Gregory Korte,0.000303044996121,0.0037978086979901,0.0042506981073533,0.0023275335775335
Politics / Government,Politics / Government,politician,Gregory Meeks,0.0002909231962761,0.003831417624521,0.0050884269314303,0.0020604395604395
Science / Technology,Science / Technology,,Gregory Reid Wiseman,0.0010909619860356,0.0035961551388048,0.0040955631399317,0.0028998778998779
Social Issues,Social Issues,activist,Greta Thunberg,0.0118551202482544,0.0321301337635275,0.0421967111386906,0.0153006715506715
Politics / Government,Politics / Government,politician,Gretchen Esther Whitmer,0.0033941039565554,0.013040263493984,0.0163512255662426,0.0088141025641025
Film / Tv,Film / Tv,,Gretchen Rossi,0.00380624515128,0.0036633729918666,0.0036922122246354,0.0046550671550671
Authors||Biographies And Memoirs,Authors||Biographies And Memoirs,,Gretchen Rubin,0.0019637315748642,0.0043691604490152,0.0054297238597579,0.0024038461538461
News Media,News Media,journalist,Griff Jenkins,0.0002181923972071,0.002352624857162,0.0006825938566552,0.0046169108669108
News Media,News Media,journalist,Griffin Mcelroy,0.0013818851823118,0.0019157088122605,0.0022649705243561,0.0011446886446886
